Order.q;Target;Empirical;s.e.;LCL;UCL;Community
0;Diversity;28;3.452171409;21.39;35.415;Acc. epiphytes on A. setosa
0.25;Diversity;23.98598264;3.188794741;18.44591696;31.33159237;Acc. epiphytes on A. setosa
0.5;Diversity;20.18070918;2.881771029;15.20747463;26.96454873;Acc. epiphytes on A. setosa
0.75;Diversity;16.7753993;2.559936509;12.45753716;22.68391245;Acc. epiphytes on A. setosa
1;Diversity;13.90964222;2.255204457;10.00420955;19.01285177;Acc. epiphytes on A. setosa
1.25;Diversity;11.62799019;1.990632034;8.17525188;15.90747058;Acc. epiphytes on A. setosa
1.5;Diversity;9.883435439;1.774112357;6.737022108;13.8055713;Acc. epiphytes on A. setosa
1.75;Diversity;8.578176683;1.601810281;5.752227868;12.10939094;Acc. epiphytes on A. setosa
2;Diversity;7.606305578;1.46524003;5.061262068;10.84928619;Acc. epiphytes on A. setosa
0;Entropy;27;3.298179793;20.92;33.945;Acc. epiphytes on A. setosa
0.25;Entropy;13.1179652;1.368051762;10.78588421;16.17063763;Acc. epiphytes on A. setosa
0.5;Entropy;6.984588845;0.606187011;6.004146237;8.311709464;Acc. epiphytes on A. setosa
0.75;Entropy;4.09521165;0.292727392;3.613862829;4.754791632;Acc. epiphytes on A. setosa
1;Entropy;2.632582285;0.155970851;2.366566963;2.959607333;Acc. epiphytes on A. setosa
1.25;Entropy;1.833873442;0.091272104;1.66525012;2.010750099;Acc. epiphytes on A. setosa
1.5;Entropy;1.363825832;0.057552962;1.236936634;1.477650504;Acc. epiphytes on A. setosa
1.75;Entropy;1.067326682;0.038248496;0.976302816;1.139194916;Acc. epiphytes on A. setosa
2;Entropy;0.868530131;0.026325632;0.804338399;0.915157828;Acc. epiphytes on A. setosa
0;Diversity;42;3.888534881;35.045;49.07;Acc. epiphytes on C. phalerata
0.25;Diversity;35.13418599;3.507371327;28.29738713;41.65406952;Acc. epiphytes on C. phalerata
0.5;Diversity;28.71992334;3.110541509;22.76336725;34.61555893;Acc. epiphytes on C. phalerata
0.75;Diversity;23.14517476;2.733033217;18.33627861;28.88069982;Acc. epiphytes on C. phalerata
1;Diversity;18.65721603;2.39537408;14.75546957;23.91325556;Acc. epiphytes on C. phalerata
1.25;Diversity;15.27238099;2.106095233;11.88281014;20.20212713;Acc. epiphytes on C. phalerata
1.5;Diversity;12.82292075;1.867838332;9.726408114;16.97262653;Acc. epiphytes on C. phalerata
1.75;Diversity;11.07605761;1.677926994;8.387195956;14.69973468;Acc. epiphytes on C. phalerata
2;Diversity;9.822181146;1.529355287;7.332298304;13.13215264;Acc. epiphytes on C. phalerata
0;Entropy;41;4.111315431;33.54;49.54;Acc. epiphytes on C. phalerata
0.25;Entropy;17.9080441;1.515377519;15.17446972;20.65218155;Acc. epiphytes on C. phalerata
0.5;Entropy;8.718194501;0.604026192;7.646935618;9.886305637;Acc. epiphytes on C. phalerata
0.75;Entropy;4.773544989;0.265905574;4.279103112;5.265194311;Acc. epiphytes on C. phalerata
1;Entropy;2.92623299;0.130330161;2.680793083;3.160720403;Acc. epiphytes on C. phalerata
1.25;Entropy;1.97659274;0.070340162;1.842885653;2.113674671;Acc. epiphytes on C. phalerata
1.5;Entropy;1.441482846;0.040887419;1.358963603;1.519614545;Acc. epiphytes on C. phalerata
1.75;Entropy;1.113724486;0.025052441;1.061414345;1.159735004;Acc. epiphytes on C. phalerata
2;Entropy;0.898189619;0.015924043;0.864546652;0.927447025;Acc. epiphytes on C. phalerata
0;Diversity;9;0.55761066;7.475;9.475;True epiphytes on A. setosa
0.25;Diversity;6.514556778;0.345123566;5.796086637;7.04203149;True epiphytes on A. setosa
0.5;Diversity;4.915173467;0.259409365;4.370128116;5.384194407;True epiphytes on A. setosa
0.75;Diversity;3.924857538;0.214893303;3.487236276;4.346744399;True epiphytes on A. setosa
1;Diversity;3.308108615;0.186455097;2.944392274;3.662770693;True epiphytes on A. setosa
1.25;Diversity;2.910425451;0.166925865;2.582067912;3.225054688;True epiphytes on A. setosa
1.5;Diversity;2.642228258;0.152745741;2.360610336;2.928221452;True epiphytes on A. setosa
1.75;Diversity;2.453353101;0.141862514;2.197156278;2.726841024;True epiphytes on A. setosa
2;Diversity;2.31527998;0.133133606;2.069268964;2.575106035;True epiphytes on A. setosa
0;Entropy;8;0.608792363;6.535;8.535;True epiphytes on A. setosa
0.25;Entropy;4.103579769;0.229198867;3.549271743;4.43669205;True epiphytes on A. setosa
0.5;Entropy;2.434038099;0.112841045;2.177976415;2.626745425;True epiphytes on A. setosa
0.75;Entropy;1.630098146;0.069802756;1.477721542;1.758717516;True epiphytes on A. setosa
1;Entropy;1.196376611;0.050186816;1.090045276;1.292024101;True epiphytes on A. setosa
1.25;Entropy;0.937536851;0.039210324;0.856480451;1.014246297;True epiphytes on A. setosa
1.5;Entropy;0.769604231;0.031980684;0.703539333;0.829888041;True epiphytes on A. setosa
1.75;Entropy;0.653161423;0.026693554;0.594331255;0.701048334;True epiphytes on A. setosa
2;Entropy;0.568086794;0.022584506;0.517193868;0.607634143;True epiphytes on A. setosa
0;Diversity;10;1.275986169;7.2;12.225;True epiphytes on C. phalerata
0.25;Diversity;7.987382362;0.794747879;6.318952714;9.661574803;True epiphytes on C. phalerata
0.5;Diversity;6.751090987;0.512753257;5.726184456;7.795486396;True epiphytes on C. phalerata
0.75;Diversity;6.010508605;0.363564689;5.303046866;6.744591058;True epiphytes on C. phalerata
1;Diversity;5.556733288;0.289832451;4.982575692;6.123967835;True epiphytes on C. phalerata
1.25;Diversity;5.263777292;0.256192372;4.728061763;5.733850093;True epiphytes on C. phalerata
1.5;Diversity;5.062025829;0.243213636;4.524580273;5.491578571;True epiphytes on C. phalerata
1.75;Diversity;4.913876466;0.240593851;4.390851179;5.343414061;True epiphytes on C. phalerata
2;Diversity;4.798819816;0.242971038;4.280177596;5.22420956;True epiphytes on C. phalerata
0;Entropy;9;1.4714622;6.375;11.375;True epiphytes on C. phalerata
0.25;Entropy;5.001600641;0.565766389;3.943767176;6.03197913;True epiphytes on C. phalerata
0.5;Entropy;3.196572327;0.240513286;2.733492912;3.68908831;True epiphytes on C. phalerata
0.75;Entropy;2.263077664;0.114885865;2.04374538;2.489221489;True epiphytes on C. phalerata
1;Entropy;1.715010397;0.062071901;1.59857526;1.832438177;True epiphytes on C. phalerata
1.25;Entropy;1.359199371;0.037504447;1.293152373;1.436752928;True epiphytes on C. phalerata
1.5;Entropy;1.11106948;0.024631921;1.06440539;1.157323522;True epiphytes on C. phalerata
1.75;Entropy;0.929343384;0.017042601;0.895898663;0.961168558;True epiphytes on C. phalerata
2;Entropy;0.791615431;0.012136851;0.767295033;0.813983528;True epiphytes on C. phalerata
