Order.q;Target;Estimate;s.e.;LCL;UCL;Community
0;Diversity;91.34020619;45.96575369;45.35363378;217.2760565;Acc. epiphytes on A. setosa
0.25;Diversity;66.91204313;29.96124547;36.26188382;146.6952732;Acc. epiphytes on A. setosa
0.5;Diversity;45.65362762;16.17595485;27.37070435;86.19920406;Acc. epiphytes on A. setosa
0.75;Diversity;30.02828605;7.40437157;19.50356062;47.26192597;Acc. epiphytes on A. setosa
1;Diversity;20.23974874;3.657689264;14.11489755;27.89084871;Acc. epiphytes on A. setosa
1.25;Diversity;14.62330083;2.423176262;10.08759556;19.80167053;Acc. epiphytes on A. setosa
1.5;Diversity;11.39725182;1.929531907;7.869899551;15.60601662;Acc. epiphytes on A. setosa
1.75;Diversity;9.439581228;1.660582855;6.477384876;13.09821072;Acc. epiphytes on A. setosa
2;Diversity;8.168421053;1.488999644;5.56316915;11.65477842;Acc. epiphytes on A. setosa
0;Entropy;90.34020619;50.82325413;40.56084242;234.6020795;Acc. epiphytes on A. setosa
0.25;Entropy;29.86037125;11.14794422;17.11615504;59.30209123;Acc. epiphytes on A. setosa
0.5;Entropy;11.51349365;2.576674079;8.098097308;17.50044367;Acc. epiphytes on A. setosa
0.75;Entropy;5.363595137;0.667026827;4.274903999;6.742717814;Acc. epiphytes on A. setosa
1;Entropy;3.00764843;0.218704407;2.616474811;3.446584865;Acc. epiphytes on A. setosa
1.25;Entropy;1.954503985;0.09851047;1.758942362;2.146499729;Acc. epiphytes on A. setosa
1.5;Entropy;1.407579711;0.055950358;1.298275922;1.515017942;Acc. epiphytes on A. setosa
1.75;Entropy;1.085748412;0.035705853;1.019615964;1.155575606;Acc. epiphytes on A. setosa
2;Entropy;0.87757732;0.02411134;0.831544244;0.92248604;Acc. epiphytes on A. setosa
0;Diversity;94.57546012;30.28516867;58.86302211;175.2457466;Acc. epiphytes on C. phalerata
0.25;Diversity;71.68127091;19.30692274;48.42682255;122.5841559;Acc. epiphytes on C. phalerata
0.5;Diversity;51.20314044;10.63330769;36.07494833;76.25760774;Acc. epiphytes on C. phalerata
0.75;Diversity;35.33654491;5.554001402;25.98985965;50.2036561;Acc. epiphytes on C. phalerata
1;Diversity;24.68912761;3.400231235;18.98129659;31.01670574;Acc. epiphytes on C. phalerata
1.25;Diversity;18.18938705;2.520199761;13.533821;23.08315633;Acc. epiphytes on C. phalerata
1.5;Diversity;14.31297221;2.056403412;10.55371902;18.65165906;Acc. epiphytes on C. phalerata
1.75;Diversity;11.9307956;1.769627438;8.677954481;15.9302289;Acc. epiphytes on C. phalerata
2;Diversity;10.38788356;1.58105691;7.543632971;13.97471702;Acc. epiphytes on C. phalerata
0;Entropy;93.57546012;25.17876388;58.11115722;157.9037186;Acc. epiphytes on C. phalerata
0.25;Entropy;31.51346236;5.63874657;22.54170157;43.9970194;Acc. epiphytes on C. phalerata
0.5;Entropy;12.31127394;1.366320928;9.887518123;15.33431407;Acc. epiphytes on C. phalerata
0.75;Entropy;5.752501194;0.396217493;5.021647902;6.407807527;Acc. epiphytes on C. phalerata
1;Entropy;3.206362969;0.151609351;2.930436677;3.471086418;Acc. epiphytes on C. phalerata
1.25;Entropy;2.063107688;0.073343514;1.910948127;2.191401972;Acc. epiphytes on C. phalerata
1.5;Entropy;1.47135384;0.040630471;1.388667482;1.542542173;Acc. epiphytes on C. phalerata
1.75;Entropy;1.125633244;0.024329099;1.076783253;1.167310592;Acc. epiphytes on C. phalerata
2;Entropy;0.903734;0.01530074;0.872199879;0.929595925;Acc. epiphytes on C. phalerata
0;Diversity;9;1.05877486;7.279891748;11.29992851;True epiphytes on A. setosa
0.25;Diversity;6.626926997;0.458447416;5.66786954;7.441013273;True epiphytes on A. setosa
0.5;Diversity;5.011560909;0.27193318;4.476535207;5.475051095;True epiphytes on A. setosa
0.75;Diversity;3.984537618;0.220295868;3.562174674;4.373501902;True epiphytes on A. setosa
1;Diversity;3.342090378;0.193538897;2.974078446;3.683957524;True epiphytes on A. setosa
1.25;Diversity;2.930407462;0.175012276;2.598787159;3.253656068;True epiphytes on A. setosa
1.5;Diversity;2.655145585;0.161315461;2.356086885;2.965490991;True epiphytes on A. setosa
1.75;Diversity;2.462710036;0.150647436;2.190942707;2.758501477;True epiphytes on A. setosa
2;Diversity;2.322786404;0.141969178;2.073492426;2.604703104;True epiphytes on A. setosa
0;Entropy;8;0.859583012;6.32967116;10.3247692;True epiphytes on A. setosa
0.25;Entropy;4.173765573;0.263944854;3.667923915;4.58923955;True epiphytes on A. setosa
0.5;Entropy;2.477303166;0.124519545;2.256150951;2.691899459;True epiphytes on A. setosa
0.75;Entropy;1.651379529;0.079574321;1.499117308;1.793995209;True epiphytes on A. setosa
1;Entropy;1.206596473;0.057541803;1.094556152;1.308924055;True epiphytes on A. setosa
1.25;Entropy;0.942770874;0.044425315;0.852243151;1.020810111;True epiphytes on A. setosa
1.5;Entropy;0.772600827;0.035741191;0.697701037;0.831745565;True epiphytes on A. setosa
1.75;Entropy;0.655100553;0.029511053;0.594497866;0.703494394;True epiphytes on A. setosa
2;Entropy;0.569482584;0.02477179;0.518672436;0.611521234;True epiphytes on A. setosa
0;Diversity;14.47593583;4.923764658;8.308790107;28.30317513;True epiphytes on C. phalerata
0.25;Diversity;10.12443769;2.343114451;7.024495646;16.60493802;True epiphytes on C. phalerata
0.5;Diversity;7.695634915;1.044883447;6.0381098;10.32165214;True epiphytes on C. phalerata
0.75;Diversity;6.435450668;0.526173253;5.470828401;7.605574087;True epiphytes on C. phalerata
1;Diversity;5.772862871;0.345464823;5.155074475;6.424015404;True epiphytes on C. phalerata
1.25;Diversity;5.399797707;0.286736986;4.914646672;5.962593498;True epiphytes on C. phalerata
1.5;Diversity;5.169529417;0.269940624;4.704456023;5.703418646;True epiphytes on C. phalerata
1.75;Diversity;5.013506238;0.268619833;4.533356193;5.522001368;True epiphytes on C. phalerata
2;Diversity;4.898873239;0.273453563;4.408742666;5.393643217;True epiphytes on C. phalerata
0;Entropy;13.47593583;5.093673885;6.843796791;24.33911765;True epiphytes on C. phalerata
0.25;Entropy;6.23441917;1.34177371;4.259213546;9.052564168;True epiphytes on C. phalerata
0.5;Entropy;3.54820148;0.387699486;2.887337212;4.322922348;True epiphytes on C. phalerata
0.75;Entropy;2.370957863;0.135094032;2.11740365;2.601359831;True epiphytes on C. phalerata
1;Entropy;1.753168122;0.061634809;1.62514803;1.855826369;True epiphytes on C. phalerata
1.25;Entropy;1.375989196;0.035311216;1.297433169;1.436098889;True epiphytes on C. phalerata
1.5;Entropy;1.120360972;0.022969305;1.066797537;1.159377853;True epiphytes on C. phalerata
1.75;Entropy;0.935379615;0.015873053;0.897597799;0.961419499;True epiphytes on C. phalerata
2;Entropy;0.795871428;0.011284222;0.768295958;0.814924961;True epiphytes on C. phalerata
